datetime,ppm,temp,rh,class
2021-08-11 08:57:46,328.78,27.47,71.69,3
2021-08-11 08:58:09,381.05,27.47,71.73,3
2021-08-11 08:58:32,334.15,27.47,71.72,3
2021-08-11 08:58:54,387.45,27.48,71.83,3
2021-08-11 08:59:17,387.45,27.48,71.76,3
2021-08-11 08:59:39,387.45,27.49,71.75,3
2021-08-11 09:00:02,328.78,27.5,71.68,3
2021-08-11 09:00:25,400.65,27.49,71.67,3
2021-08-11 09:00:47,334.15,27.51,71.72,3
2021-08-11 09:01:10,387.45,27.51,71.67,3
2021-08-11 09:01:33,387.45,27.49,71.68,3
2021-08-11 09:01:55,400.65,27.48,71.65,3
2021-08-11 09:02:18,407.44,27.48,71.79,3
2021-08-11 09:02:40,308.32,27.48,71.81,3
2021-08-11 09:03:03,280.39,27.5,71.76,3
2021-08-11 09:03:26,298.66,27.52,71.72,3
2021-08-11 09:03:49,308.32,27.53,71.69,3
2021-08-11 09:04:11,308.32,27.54,71.77,3
2021-08-11 09:04:34,284.83,27.55,71.69,3
2021-08-11 09:04:56,293.96,27.54,71.66,3
2021-08-11 09:05:20,298.66,27.54,71.56,3
2021-08-11 09:05:42,247.66,27.54,71.58,3
2021-08-11 09:06:05,243.89,27.53,71.56,3
2021-08-11 09:06:28,313.29,27.55,71.47,3
2021-08-11 09:06:50,313.29,27.55,71.43,3
2021-08-11 09:07:13,328.78,27.56,71.6,3
2021-08-11 09:07:36,271.75,27.57,71.51,3
2021-08-11 09:07:58,308.32,27.57,71.41,3
2021-08-11 09:08:21,308.32,27.55,71.3,3
2021-08-11 09:08:44,263.42,27.57,71.39,3
2021-08-11 09:09:06,313.29,27.56,71.39,3
2021-08-11 09:09:29,328.78,27.57,71.37,3
2021-08-11 09:09:51,328.78,27.56,71.39,3
2021-08-11 09:10:14,303.44,27.58,71.38,3
2021-08-11 09:10:37,308.32,27.59,71.31,3
2021-08-11 09:10:59,308.32,27.58,71.31,3
2021-08-11 09:11:22,255.4,27.59,71.31,3
2021-08-11 09:11:45,328.78,27.59,71.3,3
2021-08-11 09:12:07,263.42,27.59,71.27,3
2021-08-11 09:12:30,328.78,27.6,71.26,3
2021-08-11 09:12:53,271.75,27.6,71.29,3
2021-08-11 09:13:15,328.78,27.62,71.33,3
2021-08-11 09:13:38,328.78,27.64,71.29,3
2021-08-11 09:14:01,308.32,27.63,71.2,3
2021-08-11 09:14:23,328.78,27.64,71.2,3
2021-08-11 09:14:46,328.78,27.66,71.21,3
2021-08-11 09:15:08,298.66,27.66,71.19,3
2021-08-11 09:15:31,308.32,27.67,71.3,3
2021-08-11 09:15:54,308.32,27.68,71.17,3
2021-08-11 09:16:16,308.32,27.68,71.06,3
2021-08-11 09:16:40,255.4,27.68,71.15,3
2021-08-11 09:17:03,308.32,27.68,71.37,3
2021-08-11 09:17:26,255.4,27.7,71.3,3
2021-08-11 09:17:48,328.78,27.7,71.29,3
2021-08-11 09:18:14,259.37,27.7,71.26,3
2021-08-11 09:18:37,328.78,27.72,71.25,3
2021-08-11 09:19:00,334.15,27.73,71.26,3
2021-08-11 09:19:22,328.78,27.73,71.32,3
2021-08-11 09:19:45,328.78,27.75,71.32,3
2021-08-11 09:20:07,263.42,27.75,71.3,3
2021-08-11 09:20:30,334.15,27.76,71.26,3
2021-08-11 09:20:53,271.75,27.77,71.31,3
2021-08-11 09:21:15,339.62,27.77,71.33,3
2021-08-11 09:21:38,339.62,27.79,71.33,3
2021-08-11 09:22:01,339.62,27.79,71.28,3
2021-08-11 09:22:23,284.83,27.8,71.33,3
2021-08-11 09:22:46,339.62,27.81,71.49,3
2021-08-11 09:23:08,339.62,27.8,71.2,3
2021-08-11 09:23:31,345.2,27.81,71.22,3
2021-08-11 09:23:54,289.35,27.82,71.25,3
2021-08-11 09:24:16,350.89,27.81,71.31,3
2021-08-11 09:24:39,345.2,27.81,71.25,3
2021-08-11 09:25:02,350.89,27.82,71.22,3
2021-08-11 09:25:24,345.2,27.83,71.24,3
2021-08-11 09:25:47,289.35,27.84,71.22,3
2021-08-11 09:26:09,339.62,27.85,71.19,3
2021-08-11 09:26:32,345.2,27.86,71.17,3
2021-08-11 09:26:55,284.83,27.87,71.13,3
2021-08-11 09:27:17,284.83,27.87,71.07,3
2021-08-11 09:27:40,345.2,27.87,71.1,3
2021-08-11 09:28:03,289.35,27.89,71.2,3
2021-08-11 09:28:25,345.2,27.9,71.11,3
2021-08-11 09:28:48,289.35,27.9,71.06,3
2021-08-11 09:29:10,350.89,27.9,71.1,3
2021-08-11 09:29:33,289.35,27.92,71.06,3
2021-08-11 09:29:56,350.89,27.92,71.14,3
2021-08-11 09:30:18,356.68,27.93,71.15,2
2021-08-11 09:30:41,356.68,27.97,71.3,2
2021-08-11 09:31:03,350.89,27.97,71.21,2
2021-08-11 09:31:26,345.2,27.98,71.11,2
2021-08-11 09:31:49,284.83,27.99,71.03,2
2021-08-11 09:32:12,356.68,27.99,71.07,2
2021-08-11 09:32:34,289.35,28.0,71.04,2
2021-08-11 09:32:57,350.89,28.01,71.1,2
2021-08-11 09:33:20,289.35,28.02,71.06,2
2021-08-11 09:33:42,356.68,28.03,71.14,2
2021-08-11 09:34:05,350.89,28.04,71.08,2
2021-08-11 09:34:27,255.4,28.04,71.04,2
2021-08-11 09:36:40,296.26,28.08,70.94,2
